Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Karyotype band	Gene name
1	23303771	23344336	p36.12	HNRNPR
1	23359448	23369442	p36.12	ZNF436
1	23381061	23424740	p36.12	TCEA3
1	23428563	23484568	p36.12	ASAP3
1	23506430	23531220	p36.12	E2F2
1	23557918	23559794	p36.12	ID3
1	23691779	23696425	p36.11	RPL11
1	23743155	23762059	p36.11	ELOA
1	23778405	23788232	p36.11	PITHD1
1	23790970	23795539	p36.11	LYPLA2
1	23795599	23800804	p36.11	GALE
1	23801885	23838620	p36.11	HMGCL
1	23845077	23868294	p36.11	FUCA1
1	23870526	23913362	p36.11	CNR2
1	23959109	23963462	p36.11	PNRC2
1	23964804	23980927	p36.11	SRSF10
1	24056035	24112175	p36.11	MYOM3
1	24119771	24143121	p36.11	IL22RA1
1	24154157	24187959	p36.11	IFNLR1
1	24319322	24364482	p36.11	GRHL3
1	24356999	24416934	p36.11	STPG1
1	24415794	24472976	p36.11	NIPAL3
1	24502351	24541040	p36.11	RCAN3
1	24556111	24609328	p36.11	NCMAP
1	24631716	24673267	p36.11	SRRM1
1	24745357	24844324	p36.11	CLIC4
1	24899511	24965121	p36.11	RUNX3
1	25222679	25232502	p36.11	SYF2
1	25242237	25338213	p36.11	RSRP1
1	25272393	25330445	p36.11	RHD
1	25337917	25362361	p36.11	TMEM50A
1	25362249	25430192	p36.11	RHCE
1	25430858	25500209	p36.11	TMEM57
1	25543580	25568886	p36.11	LDLRAP1
1	25617468	25786207	p36.11	MAN1C1
1	25800176	25818224	p36.11	SELENON
1	25818640	25832942	p36.11	MTFR1L
1	25831913	25859458	p36.11	AUNIP
1	25861210	25871253	p36.11	PAQR7
1	25884181	25906991	p36.11	STMN1
1	25959767	25998157	p36.11	PAFAH2
1	26019884	26036464	p36.11	EXTL1
1	26037252	26046133	p36.11	SLC30A2
1	26051304	26068436	p36.11	TRIM63
1	26111165	26125543	p36.11	PDIK1L
1	26159020	26163962	p36.11	FAM110D
1	26169871	26170873	p36.11	ZNF593
1	26177403	26189886	p36.11	CNKSR1
1	26190561	26202968	p36.11	CATSPER4
1	26234153	26279038	p36.11	CEP85
1	26279176	26281522	p36.11	SH3BGRL3
1	26281328	26318363	p36.11	UBXN11
1	26317957	26320523	p36.11	CD52
1	26361634	26374522	p36.11	ZNF683
1	26410778	26429722	p36.11	LIN28A
1	26432282	26471294	p36.11	DHDDS
1	26472450	26475972	p36.11	HMGN2
1	26529761	26575030	p36.11	RPS6KA1
1	26693236	26782104	p36.11	ARID1A
1	26787472	26798398	p36.11	PIGV
1	26826710	26857602	p36.11	ZDHHC18
1	26863138	26864457	p36.11	SFN
1	26876133	26890297	p36.11	GPN2
1	26890488	26900466	p36.11	GPATCH3
1	26900238	26946862	p36.11	NUDC
1	26911489	26913966	p36.11	NR0B2
1	26949562	26960406	p36.11	KDF1
1	26993707	27000898	p36.11	TRNP1
1	27005020	27012836	p36.11	FAM46B
1	27098815	27166981	p36.11	SLC9A1
1	27234516	27308633	p36.11	WDTC1
1	27322145	27336400	p36.11	TMEM222
1	27342020	27353937	p36.11	SYTL1
1	27355184	27366892	p36.11	MAP3K6
1	27369112	27374824	p36.11	FCN3
1	27379176	27383380	p36.11	CD164L2
1	27392644	27395814	p36.11	GPR3
1	27404226	27490158	p36.11	WASF2
1	27534035	27604431	p35.3	AHDC1
1	27612064	27635277	p35.3	FGR
1	27666061	27672218	p35.3	IFI6
1	27725979	27763122	p35.3	FAM76A
1	27773183	27824452	p35.3	STX12
1	27830778	27851676	p35.3	PPP1R8
1	27872543	27886685	p35.3	THEMIS2
1	27891524	27914746	p35.3	RPA2
1	27934993	27959157	p35.3	SMPDL3B
1	27959462	27968096	p35.3	XKR8
1	27970344	28088696	p35.3	EYA3
1	28147166	28193936	p35.3	PTAFR
1	28199456	28233025	p35.3	DNAJC8
1	28236109	28246906	p35.3	ATPIF1
1	28259527	28282491	p35.3	SESN2
1	28329002	28335967	p35.3	MED18
1	28369582	28500369	p35.3	PHACTR4
1	28505943	28539300	p35.3	RCC1
1	28553085	28578545	p35.3	TRNAU1AP
1	28589323	28643085	p35.3	TAF12
1	28592200	28595443	p35.3	RAB42
1	28668732	28719353	p35.3	GMEB1
1	28736621	28769775	p35.3	YTHDF2
1	28812142	28871267	p35.3	OPRD1
1	28887091	29120046	p35.3	EPB41
1	29119428	29123935	p35.3	TMEM200B
1	29147743	29181987	p35.3	SRSF4
1	29192873	29230942	p35.3	MECR
1	29236516	29326813	p35.3	PTPRU
1	30711277	30723587	p35.2	MATN1
1	30732469	30757820	p35.2	LAPTM5
1	30869467	30908761	p35.2	SDC3
1	30931506	31065991	p35.2	PUM1
1	31179745	31239554	p35.2	NKAIN1
1	31259568	31296782	p35.2	SNRNP40
1	31296982	31364953	p35.2	ZCCHC17
1	31365625	31376850	p35.2	FABP3
1	31409565	31434680	p35.2	SERINC2
1	31576485	31587686	p35.2	TINAGL1
1	31617686	31632518	p35.2	HCRTR1
1	31629862	31644896	p35.2	PEF1
1	31652247	31704319	p35.2	COL16A1
1	31727117	31764893	p35.2	ADGRB2
1	31790422	31816051	p35.2	SPOCD1
1	31906421	31944856	p35.2	PTP4A2
1	32013829	32060850	p35.2	KHDRBS1
1	32072031	32102866	p35.2	TMEM39B
1	32108038	32176568	p35.2	KPNA6
1	32179686	32198285	p35.2	TXLNA
1	32200386	32205387	p35.2	CCDC28B
1	32205661	32208687	p35.2	IQCC
1	32209094	32216196	p35.2	DCDC2B
1	32214472	32222359	p35.2	TMEM234
1	32221928	32231604	p35.2	EIF3I
1	32247233	32248856	p35.2	FAM167B
1	32251239	32286165	p35.2	LCK
1	32292086	32333635	p35.2	HDAC1
1	32333832	32336379	p35.1	MARCKSL1
1	32351521	32364312	p35.1	TSSK3
1	32361270	32364278	p35.1	FAM229A
1	32365103	32394731	p35.1	BSDC1
1	32465069	32496686	p35.1	ZBTB8B
1	32539427	32605939	p35.1	ZBTB8A
1	32600172	32650903	p35.1	ZBTB8OS
1	32651142	32686211	p35.1	RBBP4
1	32680360	32703596	p35.1	SYNC
1	32741885	32774970	p35.1	KIAA1522
1	32775237	32818153	p35.1	YARS
1	32816767	32858879	p35.1	S100PBP
1	32862268	32872482	p35.1	FNDC5
1	32885994	32898441	p35.1	HPCA
1	32894594	32901438	p35.1	TMEM54
1	32936445	32964685	p35.1	RNF19B
1	33007940	33080996	p35.1	AK2
1	33081104	33120530	p35.1	AZIN2
1	33145402	33182059	p35.1	TRIM62
1	33256545	33300719	p35.1	ZNF362
1	33306766	33321098	p35.1	A3GALT2
1	33323623	33431052	p35.1	PHC2
1	33472645	33496507	p35.1	ZSCAN20
1	33513999	34165842	p35.1	CSMD2
1	33860475	33864791	p35.1	HMGB4
1	34166883	34219131	p35.1	C1orf94
1	34712737	34859816	p34.3	SMIM12
1	34755047	34758512	p34.3	GJB5
1	34759741	34763724	p34.3	GJB4
1	34781189	34786369	p34.3	GJB3
1	34792998	34795747	p34.3	GJA4
1	34865436	34929585	p34.3	DLGAP3
1	34981535	34985353	p34.3	TMEM35B
1	34986165	35031968	p34.3	ZMYM6
1	35059786	35115859	p34.3	ZMYM1
1	35176378	35193148	p34.3	SFPQ
1	35268967	35422058	p34.3	ZMYM4
1	35433490	35557950	p34.3	KIAA0319L
1	35557473	35567274	p34.3	NCDN
1	35573370	35595328	p34.3	TFAP2E
1	35599544	35641844	p34.3	PSMB2
1	35713875	35719472	p34.3	C1orf216
1	35720218	35769967	p34.3	CLSPN
1	35808172	35857890	p34.3	AGO4
1	35869808	35930528	p34.3	AGO1
1	35930718	36072500	p34.3	AGO3
1	36084075	36088275	p34.3	TEKT2
1	36088875	36093932	p34.3	ADPRHL2
1	36095236	36125220	p34.3	COL8A2
1	36136570	36156053	p34.3	TRAPPC3
1	36155579	36180849	p34.3	MAP7D1
1	36224416	36305357	p34.3	THRAP3
1	36306387	36324886	p34.3	SH3D21
1	36322031	36324154	p34.3	EVA1B
1	36339624	36385896	p34.3	STK40
1	36391238	36397892	p34.3	LSM10
1	36415827	36450451	p34.3	OSCP1
1	36455718	36464437	p34.3	MRPS15
1	36466043	36483278	p34.3	CSF3R
1	36795527	37034129	p34.3	GRIK3
1	37474552	37484379	p34.3	ZC3H12A
1	37492575	37514774	p34.3	MEAF6
1	37534449	37554344	p34.3	SNIP1
1	37556919	37566857	p34.3	DNALI1
1	37566816	37595935	p34.3	GNL2
1	37611350	37634923	p34.3	RSPO1
1	37681570	37692249	p34.3	C1orf109
1	37692418	37709719	p34.3	CDCA8
1	37713880	37765133	p34.3	EPHA10
1	37793802	37801137	p34.3	MANEAL
1	37802944	37808185	p34.3	YRDC
1	37806979	37809454	p34.3	C1orf122
1	37809567	37859620	p34.3	MTF1
1	37860697	37947057	p34.3	INPP5B
1	37956975	37990921	p34.3	SF3A3
1	37996770	38005606	p34.3	FHL3
1	38009258	38024824	p34.3	UTP11
1	38044611	38046794	p34.3	POU3F1
1	38838198	38859823	p34.3	RRAGC
1	38862964	38874105	p34.3	MYCBP
1	38874451	38881587	p34.3	GJA9
1	38885807	38941799	p34.3	RHBDL2
1	38991223	39006059	p34.3	AKIRIN1
1	39026318	39034636	p34.3	NDUFS5
1	39081316	39487177	p34.3	MACF1
1	39491646	39525935	p34.3	BMP8A
1	39560816	39576790	p34.3	PABPC4
1	39624153	39639945	p34.2	HEYL
1	39659121	39672038	p34.2	NT5C1A
1	39678648	39691689	p34.2	HPCAL4
1	39692182	39763914	p34.2	PPIE
1	39757182	39788861	p34.2	BMP8B
1	39769523	39771348	p34.2	OXCT2
1	39841022	39883511	p34.2	TRIT1
1	39895426	39902256	p34.2	MYCL
1	39955112	39969968	p34.2	MFSD2A
1	40040233	40072649	p34.2	CAP1
1	40071461	40097727	p34.2	PPT1
1	40161373	40240921	p34.2	RLF
1	40245947	40251691	p34.2	TMCO2
1	40258107	40294184	p34.2	ZMPSTE24
1	40300487	40317816	p34.2	COL9A2
1	40344850	40423326	p34.2	SMAP2
1	40450102	40463718	p34.2	ZFP69B
1	40477215	40496343	p34.2	ZFP69
1	40508741	40516556	p34.2	EXO5
1	40531561	40548169	p34.2	ZNF684
1	40620679	40665657	p34.2	RIMS3
1	40691648	40771603	p34.2	NFYC
1	40784012	40840452	p34.2	KCNQ4
1	40861051	40862366	p34.2	CITED4
1	40979335	41012565	p34.2	CTPS1
1	41015597	41023237	p34.2	SLFNL1
1	41027200	41242154	p34.2	SCMH1
1	41478775	41484673	p34.2	EDN2
1	41506365	42035925	p34.2	HIVEP3
1	42153421	42155824	p34.2	GUCA2B
1	42162691	42164718	p34.2	GUCA2A
1	42176539	42335877	p34.2	FOXJ3
1	42380795	42422578	p34.2	RIMKLA
1	42430329	42456267	p34.2	ZMYND12
1	42456117	42473385	p34.2	PPCS
1	42463330	42654664	p34.2	CCDC30
1	42658425	42676758	p34.2	PPIH
1	42682427	42702349	p34.2	YBX1
1	42733093	42740254	p34.2	CLDN19
1	42746335	42767084	p34.2	P3H1
1	42767269	42775747	p34.2	C1orf50
1	42785007	42816619	p34.2	TMEM269
1	42807052	42817252	p34.2	SVBP
1	42817124	42844989	p34.2	ERMAP
1	42846573	42852477	p34.2	ZNF691
1	42925375	42959173	p34.2	SLC2A1
1	43145153	43156396	p34.2	FAM183A
1	43164175	43270936	p34.2	EBNA1BP2
1	43172149	43254358	p34.2	CFAP57
1	43269994	43274002	p34.2	TMEM125
1	43281883	43285617	p34.2	C1orf210
1	43300993	43323108	p34.2	TIE1
1	43337849	43352772	p34.2	MPL
1	43358955	43363203	p34.2	CDC20
1	43363397	43368074	p34.2	ELOVL1
1	43383917	43389808	p34.2	MED8
1	43389882	43454247	p34.2	SZT2
1	43451003	43453989	p34.2	HYI
1	43525187	43623666	p34.2	PTPRF
1	43650158	43705515	p34.2	KDM4A
1	43705824	43931165	p34.1	ST3GAL3
1	43933320	43937241	p34.1	ARTN
1	43946939	43968022	p34.1	IPO13
1	43970000	43973369	p34.1	DPH2
1	43974487	43978295	p34.1	ATP6V0B
1	43978943	43991170	p34.1	B4GALT2
1	43991359	43996528	p34.1	CCDC24
1	43991500	44031467	p34.1	SLC6A9
1	44118850	44135140	p34.1	KLF17
1	44213455	44220681	p34.1	DMAP1
1	44221070	44355260	p34.1	ERI3
1	44405194	44651724	p34.1	RNF220
1	44635238	44674555	p34.1	TMEM53
1	44674692	44725591	p34.1	C1orf228
1	44739818	44767767	p34.1	KIF2C
1	44775251	44778779	p34.1	RPS8
1	44783585	44787705	p34.1	BEST4
1	44800225	44805990	p34.1	PLK3
1	44805913	44806675	p34.1	TCTEX1D4
1	44819844	44843063	p34.1	PTCH2
1	44850522	44986722	p34.1	EIF2B3
1	45002540	45011329	p34.1	HECTD3
1	45012147	45015575	p34.1	UROD
1	45016399	45306209	p34.1	ZSWIM5
1	45326905	45328533	p34.1	HPDL
1	45329163	45340470	p34.1	MUTYH
1	45339670	45343975	p34.1	TOE1
1	45343883	45491166	p34.1	TESK2
1	45500053	45513382	p34.1	MMACHC
1	45511036	45523047	p34.1	PRDX1
1	45550543	45570049	p34.1	AKR1A1
1	45583846	45618904	p34.1	NASP
1	45620044	45624057	p34.1	CCDC17
1	45627304	45688113	p34.1	GPBP1L1
1	45687214	45694443	p34.1	TMEM69
1	45694324	45750650	p34.1	IPP
1	45786987	46036124	p34.1	MAST2
1	46040140	46133036	p34.1	PIK3R3
1	46043661	46176488	p34.1	AL358075.4
1	46175073	46185958	p34.1	TSPAN1
1	46188682	46220305	p34.1	POMGNT1
1	46203334	46221261	p34.1	LURAP1
1	46247688	46278473	p34.1	RAD54L
1	46261196	46303608	p33	LRRC41
1	46303631	46316776	p33	UQCRH
1	46340177	46365152	p33	NSUN4
1	46394265	46413848	p33	FAAH
1	46506996	46514226	p33	DMBX1
1	46545644	46551527	p33	KNCN
1	46557408	46616843	p33	MKNK1
1	46607715	46616891	p33	MOB3C
1	46632737	46673867	p33	ATPAF1
1	46668855	46673594	p33	TEX38
1	46675159	46719064	p33	EFCAB14
1	46757838	46819413	p33	CYP4B1
1	46929177	46941484	p33	CYP4A11
1	47023568	47050751	p33	CYP4X1
1	47067488	47118319	p33	CYP4Z1
1	47137435	47149741	p33	CYP4A22
1	47183593	47191044	p33	PDZK1IP1
1	47216290	47232220	p33	TAL1
1	47250139	47314147	p33	STIL
1	47333797	47378839	p33	CMPK1
1	47416072	47418052	p33	FOXE3
1	47436017	47440691	p33	FOXD2
1	47760528	47996895	p33	TRABD2B
1	48222685	48248644	p33	SLC5A9
1	48295372	48472208	p33	SPATA6
1	48532855	50023913	p33	AGBL4
1	48727523	48776969	p33	BEND5
1	50048014	50203786	p33	ELAVL4
1	50417550	50423500	p32.3	DMRTA2
1	50437028	50960263	p32.3	FAF1
1	50960745	50974633	p32.3	CDKN2C
1	51102234	51148086	p32.3	C1orf185
1	51236271	51273455	p32.3	RNF11
1	51287258	51345116	p32.3	TTC39A
1	51354263	51519328	p32.3	EPS15
1	51577179	51798427	p32.3	OSBPL9
1	51789191	51878937	p32.3	NRDC
1	51907956	51990764	p32.3	RAB3B
1	52020131	52056171	p32.3	TXNDC12
1	52032103	52033816	p32.3	KTI12
1	52056125	52090716	p32.3	BTF3L4
1	52142094	52346686	p32.3	ZFYVE9
1	52345723	52366193	p32.3	CC2D1B
1	52372829	52404459	p32.3	ORC1
1	52404564	52420839	p32.3	PRPF38A
1	52408282	52553487	p32.3	ZCCHC11
1	52602372	52609051	p32.3	GPX7
1	52633344	52669683	p32.3	FAM159A
1	52684451	52698366	p32.3	COA7
1	52726467	52827342	p32.3	ZYG11B
1	52842511	52894998	p32.3	ZYG11A
